번호,원본 키워드,원본 레이어,필요충분조건 키워드,NSC 레이어,검증 키워드,최소 매칭 수
341,철거 안 된 행사 통제 구조물,L3,구조물 피해 급차선변경하는 차량,L4,event control structure not removed|leftover rally barricade structure|event control barrier|rally control remnant|barricade,1
342,바리케이드로 좁아진 임시 차로,L3,근접 주행하는 차량,L4,temporary lane narrowed by barricades|traffic lane reduced by event barriers|event control barrier|rally control remnant|barricade,1
343,행사 후 방치된 케이블 정리물,L3,행사 케이블 잔재 피해 서행하는 차량,L4,abandoned cable cleanup after event|leftover event wiring debris|event control barrier|rally control remnant|barricade,1
344,통제 인력 철수 후 남은 표지,L3,통제 여부 혼동하는 차량,L4,control sign left after staff withdrawal|leftover marker after event control removal|event control barrier|rally control remnant|barricade,1
345,무대 설치용 임시 전선 노출,L3,전선 피해 우회하는 보행자,L4,exposed temporary stage wiring|unprotected event stage cable|event control barrier|rally control remnant|barricade,1
346,행사장 진입로 표시 혼동,L3,경로 착각하는 보행자,L4,confusing event entrance signage|misleading venue entry marking|event control barrier|rally control remnant|barricade,1
347,철수 지연된 이동식 화장실,L3,좁아진 통행로로 우회하는 보행자,L4,delayed removal of portable restroom|leftover mobile toilet after event|event control barrier|rally control remnant|barricade,1
348,바닥에 방치된 행사 안내 배너,L3,배너에 걸려 넘어지는 보행자,L4,event guide banner left on ground|abandoned floor banner after event|event control barrier|rally control remnant|barricade,1
349,통제선 풀려 늘어진 폴리스라인,L3,늘어진 선에 걸리는 보행자,L4,loosened sagging police line tape|detached event control tape|event control barrier|rally control remnant|barricade,1
350,차로 침범한 행사 차량 대기열,L3,대기열 피해 급차선변경하는 차량,L4,event vehicle queue encroaching on lane|waiting vehicles blocking traffic lane|event control barrier|rally control remnant|barricade,1
351,견인 대기 중 방치된 고장 차량,L3,고장차 피해 급차선변경하는 차량,L4,broken down vehicle awaiting tow|abandoned disabled car on roadside|accident debris|breakdown vehicle remnant|debris|wreckage,1
352,사고 잔해 미수거 파편,L3,파편 피해 급조향하는 차량,L4,uncollected accident debris|leftover crash fragments|accident debris|breakdown vehicle remnant|debris|wreckage,1
353,처리 지연된 유리 파편,L3,유리 피해 급제동하는 이륜차,L4,delayed cleanup of glass fragments|uncollected broken glass debris|accident debris|breakdown vehicle remnant|debris|wreckage,1
354,기름 유출 흔적 남은 노면,L3,유막에 미끄러지는 이륜차,L4,oil spill residue on road surface|leftover oil stain from leak|accident debris|breakdown vehicle remnant|debris|wreckage,1
355,정리 안 된 사고 현장 삼각대,L3,삼각대 피해 급조향하는 차량,L4,uncleared accident warning triangle|leftover warning tripod at crash site|accident debris|breakdown vehicle remnant|debris|wreckage,1
356,견인차 작업으로 좁아진 차로,L3,근접 서행하는 차량,L4,lane narrowed by tow truck operation|traffic lane reduced during towing work|accident debris|breakdown vehicle remnant|debris|wreckage,1
357,갓길에 방치된 고장 트럭,L3,갓길 진입 못하고 본선 서행하는 차량,L4,abandoned broken truck on shoulder|disabled truck left on road shoulder|accident debris|breakdown vehicle remnant|debris|wreckage,1
358,수거 안 된 낙하물 잔해,L3,잔해 피해 급제동하는 차량,L4,uncollected fallen object debris|leftover road debris from cargo spill|accident debris|breakdown vehicle remnant|debris|wreckage,1
359,사고 처리 후 남은 페인트 표시,L3,표시 오인해 정차하는 차량,L4,leftover paint marking after accident cleanup|residual crash scene marking|accident debris|breakdown vehicle remnant|debris|wreckage,1
360,비상등만 켠 채 방치된 고장 차량,L3,저속 추돌 위험 겪는 후속 차량,L4,disabled vehicle left with only hazard lights on|abandoned car with flashers on|accident debris|breakdown vehicle remnant|debris|wreckage,1
361,녹지 않은 제설 잔설 더미,L3,폭 좁아진 눈 쌓인 노면,L1,unmelted snow pile from removal|leftover snow mound after clearing|snow removal remnant|de-icing leftover|snow|ice,1
362,살얼음 남은 제설 미흡 구간,L3,미끄러운 빙판 노면,L1,thin ice remaining from incomplete snow removal|residual ice patch after plowing|snow removal remnant|de-icing leftover|snow|ice,1
363,제설제 뿌려지지 않은 응달 구간,L3,결빙된 노면,L1,shaded section without de-icing agent|untreated icy shaded road area|snow removal remnant|de-icing leftover|snow|ice,1
364,쌓인 눈으로 좁아진 차로,L3,폭 좁아진 눈길 노면,L1,traffic lane narrowed by piled snow|lane reduced by accumulated snow|snow removal remnant|de-icing leftover|snow|ice,1
365,제설 작업 차량 저속 서행 구간,L3,서행 유발하는 눈길 노면,L1,slow moving snowplow work section|low speed zone from snow removal vehicle|snow removal remnant|de-icing leftover|snow|ice,1
366,빙판 경고 없는 그늘진 진입로,L3,결빙된 진입로 노면,L1,shaded entrance without ice warning|unmarked icy road entry|snow removal remnant|de-icing leftover|snow|ice,1
367,제설 후 젖어 다시 얼어붙은 노면,L3,재결빙된 미끄러운 노면,L1,road refrozen wet after snow removal|re-iced pavement after plowing|snow removal remnant|de-icing leftover|snow|ice,1
368,치우다 만 눈더미로 좁아진 갓길,L3,눈 쌓인 갓길 노면,L1,shoulder narrowed by partially cleared snow|road shoulder blocked by leftover snow pile|snow removal remnant|de-icing leftover|snow|ice,1
369,결빙 방치된 육교 진입로,L3,미끄러운 경사 노면,L1,icy overpass entrance left untreated|unaddressed frozen footbridge entry|snow removal remnant|de-icing leftover|snow|ice,1
370,제설 장비 이동 경로 표시 부족,L3,눈 섞인 불규칙 노면,L1,insufficient marking for snowplow route|unmarked snow removal equipment path|snow removal remnant|de-icing leftover|snow|ice,1
371,지면에 노출된 임시 전선,L3,전선 걸림 피해 우회하는 보행자,L4,exposed temporary wire on ground|unprotected cable on road surface|temporary cable|exposed wiring|cable|wire,1
372,고정 안 된 가설 케이블,L3,케이블에 걸려 넘어지는 보행자,L4,unsecured temporary cable|unanchored installation wiring|temporary cable|exposed wiring|cable|wire,1
373,차로 가로지르는 임시 전선,L3,케이블 피해 서행하는 차량,L4,temporary wire crossing traffic lane|cable laid across roadway|temporary cable|exposed wiring|cable|wire,1
374,피복 벗겨진 임시 케이블,L3,감전 우려로 우회하는 보행자,L4,temporary cable with stripped insulation|exposed wire coating damage|temporary cable|exposed wiring|cable|wire,1
375,바닥 고정 테이프 벗겨진 전선,L3,들뜬 전선에 걸리는 보행자,L4,wire with peeled floor tape|loose cable taping on ground|temporary cable|exposed wiring|cable|wire,1
376,높이 낮은 가설 케이블,L3,케이블에 부딪히는 이륜차,L4,low hanging temporary cable|insufficient clearance installation wire|temporary cable|exposed wiring|cable|wire,1
377,연결부 노출된 임시 배선,L3,접촉 우려로 우회하는 보행자,L4,exposed temporary wiring connection|unprotected cable junction|temporary cable|exposed wiring|cable|wire,1
378,빗물 고인 케이블 접속부,L3,감전 우려로 피해가는 보행자,L4,water pooled at cable connection|flooded wiring junction point|temporary cable|exposed wiring|cable|wire,1
379,정리 안 된 여분 케이블 뭉치,L3,뭉치 피해 우회하는 보행자,L4,uncleared bundle of extra cable|leftover coiled wiring|temporary cable|exposed wiring|cable|wire,1
380,통행로 가로지르는 발전기 전선,L3,전선 넘다 걸리는 보행자,L4,generator cable crossing walkway|power cable blocking pedestrian path|temporary cable|exposed wiring|cable|wire,1
381,조명 부족한 야간 작업 구간,L3,조도 낮은 야간 작업 환경,L5,poorly lit nighttime work zone|insufficient lighting at night construction site|nighttime work marking|night construction site|nightwork,1
382,반사복 미착용 야간 작업자,L3,작업자 식별 어려운 야간 환경,L5,night worker without reflective clothing|construction worker missing high-visibility gear|nighttime work marking|night construction site|nightwork,1
383,야간 작업 구간 경계 표시 부족,L3,경계 불명확한 야간 환경,L5,inadequate boundary marking for night work zone|unmarked nighttime construction perimeter|nighttime work marking|night construction site|nightwork,1
384,어두운 구간의 미표시 장비,L3,장비 식별 안 되는 야간 환경,L5,unmarked equipment in dark area|unlit machinery at night site|nighttime work marking|night construction site|nightwork,1
385,야간 식별 안 되는 작업 차량,L3,차량 식별 어려운 야간 환경,L5,work vehicle hard to see at night|poor night visibility construction truck|nighttime work marking|night construction site|nightwork,1
386,가로등 꺼진 야간 공사 구간,L3,무조명 상태의 야간 환경,L5,night construction zone with streetlight off|unlit work area due to dead streetlight|nighttime work marking|night construction site|nightwork,1
387,야간 반사테이프 없는 임시 구조물,L3,구조물 식별 안 되는 야간 환경,L5,temporary structure without night reflective tape|unmarked structure at night|nighttime work marking|night construction site|nightwork,1
388,조도 낮은 야간 우회 구간,L3,우회 경로 시야 확보 안 되는 야간 환경,L5,dimly lit nighttime detour section|low illumination night detour route|nighttime work marking|night construction site|nightwork,1
389,야간작업 종료 후 미정리 장비,L3,잔존 장비 식별 안 되는 야간 환경,L5,equipment left uncleared after night work|abandoned tools after nighttime construction|nighttime work marking|night construction site|nightwork,1
390,불빛 약한 임시 경고등 구간,L3,경고 신호 약한 야간 환경,L5,dim temporary warning light section|weak illumination at warning beacon zone|nighttime work marking|night construction site|nightwork,1
391,차단기 없는 통제 구간 입구,L3,차단 없이 진입하는 차량,L4,control zone entrance without barrier gate|unblocked closed area entry|control zone entrance|closed zone barrier|checkpoint|control zone,1
392,개방된 채 방치된 통제 게이트,L3,게이트 통과해 진입하는 차량,L4,control gate left open unattended|unclosed barrier gate|control zone entrance|closed zone barrier|checkpoint|control zone,1
393,통제 표시 훼손된 진입로,L3,통제 여부 못 알고 진입하는 차량,L4,control zone entrance with damaged signage|vandalized closed area marking|control zone entrance|closed zone barrier|checkpoint|control zone,1
394,통제 해제 안 된 옛 구간 표시,L3,통제 오인하고 우회하는 차량,L4,outdated control marking not lifted|leftover closure sign after reopening|control zone entrance|closed zone barrier|checkpoint|control zone,1
395,안내 없이 막힌 통제 구간,L3,이유 모른 채 급정지하는 차량,L4,blocked control zone without guidance|closed area without explanation sign|control zone entrance|closed zone barrier|checkpoint|control zone,1
396,경계 로프 끊어진 통제 구역,L3,끊긴 경계로 진입하는 보행자,L4,control zone with broken boundary rope|severed barrier rope at closed area|control zone entrance|closed zone barrier|checkpoint|control zone,1
397,통제 구간과 정상 구간 경계 불명확,L3,경계 착각하고 진입하는 차량,L4,unclear boundary between control zone and open road|ambiguous closed area transition|control zone entrance|closed zone barrier|checkpoint|control zone,1
398,철수한 통제 인력 자리에 남은 장비,L3,장비 피해 급조향하는 차량,L4,equipment left after control staff withdrawal|abandoned gear at vacated control post|control zone entrance|closed zone barrier|checkpoint|control zone,1
399,통제 구간 임시 표지 방향 오류,L3,잘못된 방향으로 진입하는 차량,L4,control zone temporary sign with wrong direction|misdirected closure marker|control zone entrance|closed zone barrier|checkpoint|control zone,1
400,차단봉 내려간 채 방치된 통제 구간,L3,차단봉 무시하고 진입하는 차량,L4,control zone left with barrier arm down|unattended lowered gate arm|control zone entrance|closed zone barrier|checkpoint|control zone,1
401,파손된 방음벽 판넬,L2,낙하물 회피 급조향하는 차량,L4,damaged noise barrier panel|broken sound barrier panel|noise barrier|sound barrier|barrier|panel,1
402,기울어진 방음벽,L2,붕괴 우려로 서행하며 지나가는 차량,L4,tilted noise barrier|leaning sound barrier|noise barrier|sound barrier|barrier|panel,1
403,투명패널 깨진 방음벽,L2,파편 낙하 피해 급조향하는 차량,L4,noise barrier with cracked transparent panel|broken clear sound barrier panel|noise barrier|sound barrier|barrier|panel,1
404,고정볼트 빠진 방음벽,L2,흔들리는 방음벽 보고 놀라 감속하는 차량,L4,noise barrier missing mounting bolt|unsecured sound barrier panel|noise barrier|sound barrier|barrier|panel,1
405,녹슨 방음벽 지지대,L2,지지대 붕괴 우려로 중앙으로 붙는 차량,L4,rusted noise barrier support|corroded sound barrier frame|noise barrier|sound barrier|barrier|panel,1
406,균열 생긴 방음벽 기초부,L2,기초부 파손 구간 서행하는 차량,L4,cracked noise barrier foundation|fractured sound barrier base|noise barrier|sound barrier|barrier|panel,1
407,색 바랜 어린이보호구역 표지판,L2,제한속도 무시하고 통과하는 차량,L4,faded school zone sign|discolored children protection zone sign|school zone sign|children protection zone sign|sign|school zone,1
408,가려진 어린이보호구역 표지판,L2,구역 인지 못하고 속도 유지하는 차량,L4,obscured school zone sign|blocked children protection zone sign|school zone sign|children protection zone sign|sign|school zone,1
409,쓰러진 어린이보호구역 표지판,L2,감속 없이 구역 진입하는 차량,L4,fallen school zone sign|toppled children protection zone sign|school zone sign|children protection zone sign|sign|school zone,1
410,훼손된 어린이보호구역 표지판,L2,표지 내용 못 알아보고 통과하는 차량,L4,damaged school zone sign|vandalized children protection zone sign|school zone sign|children protection zone sign|sign|school zone,1
411,반사판 탈락된 어린이보호구역 표지판,L2,야간에 구역 표지 놓치는 차량,L4,school zone sign missing reflector|children protection zone sign reflector detached|school zone sign|children protection zone sign|sign|school zone,1
412,야간 조명 없는 어린이보호구역 표지판,L2,야간 구역 인지 못하고 과속하는 차량,L4,school zone sign without night lighting|unlit children protection zone sign|school zone sign|children protection zone sign|sign|school zone,1
413,수거 안 된 로드킬 사체,L3,사체 회피 급조향하는 차량,L4,uncollected roadkill carcass|leftover animal carcass on road|roadkill carcass|animal carcass|roadkill|carcass,1
414,야간 미확인 동물 사체,L3,야간에 사체 충격 후 급제동하는 차량,L4,animal carcass unnoticed at night|unseen roadkill at night|roadkill carcass|animal carcass|roadkill|carcass,1
415,경고 표지 없는 로드킬 현장,L3,예고 없이 사체와 마주친 차량,L4,roadkill site without warning sign|unmarked animal carcass location|roadkill carcass|animal carcass|roadkill|carcass,1
416,도로 중앙에 방치된 동물 사체,L3,중앙 장애물 피해 급차선변경하는 차량,L4,animal carcass left in the middle of the road|roadkill blocking center lane|roadkill carcass|animal carcass|roadkill|carcass,1
417,부패해 미끄러운 로드킬 흔적,L3,부패물에 미끄러지는 이륜차,L4,slippery decomposed roadkill residue|slick decaying animal remains on road|roadkill carcass|animal carcass|roadkill|carcass,1
418,견인 지연된 대형 동물 사체,L3,대형 장애물 피해 급조향하는 차량,L4,large animal carcass with delayed removal|neglected large roadkill|roadkill carcass|animal carcass|roadkill|carcass,1
419,갓길에 방치된 로드킬 수거함,L3,수거함 피해 근접 주행하는 차량,L4,roadkill collection bin left on shoulder|abandoned carcass collection container|roadkill carcass|animal carcass|roadkill|carcass,1
420,차로에 떨어진 불법 투기물,L3,투기물 회피 급조향하는 차량,L4,illegally dumped waste fallen on the lane|dumped debris blocking traffic lane|dumped waste|illegally dumped trash|waste|dumped trash,1
421,방치된 대형 폐기물,L3,대형 폐기물 피해 급제동하는 차량,L4,abandoned large waste item|neglected bulky discarded item|dumped waste|illegally dumped trash|waste|dumped trash,1
422,흩어진 쓰레기 봉투,L3,봉투 회피하며 서행하는 차량,L4,scattered garbage bags|torn trash bags spread on road|dumped waste|illegally dumped trash|waste|dumped trash,1
423,도로변에 쌓인 불법 투기 쓰레기,L3,시야 방해받는 갓길 주행 차량,L4,illegally dumped trash piled on roadside|roadside waste dumping pile|dumped waste|illegally dumped trash|waste|dumped trash,1
424,바람에 날리는 투기 비닐,L3,시야 가리는 비닐에 놀라는 운전자,L4,dumped plastic sheet blowing in the wind|windblown dumped plastic sheeting|dumped waste|illegally dumped trash|waste|dumped trash,1
425,야간 미확인 투기 폐가구,L3,야간에 폐가구 충돌 위험 겪는 차량,L4,discarded furniture unnoticed at night|unseen dumped furniture at night|dumped waste|illegally dumped trash|waste|dumped trash,1
426,치우지 않은 낙석 잔해,L3,낙석 잔해로 좁아진 노면,L1,uncleared rockfall debris|leftover rockfall fragments on road|rockfall debris|landslide soil|rockfall|landslide,1
427,경고 표지 없는 토사 유출 구간,L3,표시 없는 토사 퇴적 노면,L1,landslide debris area without warning sign|unmarked soil runoff section|rockfall debris|landslide soil|rockfall|landslide,1
428,야간 미확인 낙석 파편,L3,야간 식별 안 되는 낙석 노면,L1,rockfall fragments unnoticed at night|unseen rock debris at night|rockfall debris|landslide soil|rockfall|landslide,1
429,배수 불량으로 흘러내린 토사,L3,미끄러운 토사 퇴적 노면,L1,soil washed down from poor drainage|eroded soil runoff from drainage failure|rockfall debris|landslide soil|rockfall|landslide,1
430,방치된 낙석 방지망 파손부,L3,방지망 파손으로 낙석 위험 있는 노면,L1,damaged rockfall prevention net left unrepaired|neglected torn rockfall netting|rockfall debris|landslide soil|rockfall|landslide,1
431,도로 일부 덮은 토사 퇴적물,L3,폭 좁아진 토사 퇴적 노면,L1,soil deposit covering part of the road|landslide soil partially covering roadway|rockfall debris|landslide soil|rockfall|landslide,1
